Component,Reference,Pin,Net
ESP8266 NodeMCU,U1,D0/GPIO16,STOP_BTN
ESP8266 NodeMCU,U1,D1/GPIO5,LCD_SCL
ESP8266 NodeMCU,U1,D2/GPIO4,LCD_SDA
ESP8266 NodeMCU,U1,D3/GPIO0,BUZZER_DRIVE
ESP8266 NodeMCU,U1,D4/GPIO2,ROTARY_SW
ESP8266 NodeMCU,U1,D5/GPIO14,DFPLAYER_TX
ESP8266 NodeMCU,U1,D6/GPIO12,DFPLAYER_RX
ESP8266 NodeMCU,U1,D7/GPIO13,ROTARY_CLK
ESP8266 NodeMCU,U1,D8/GPIO15,ROTARY_DT
ESP8266 NodeMCU,U1,3V3,+3V3
ESP8266 NodeMCU,U1,GND,GND
ESP8266 NodeMCU,U1,VIN,+5V
LCD 16x2 I2C,LCD1,GND,GND
LCD 16x2 I2C,LCD1,VCC,+5V
LCD 16x2 I2C,LCD1,SDA,LCD_SDA
LCD 16x2 I2C,LCD1,SCL,LCD_SCL
DFPlayer Mini,DF1,VCC,+5V
DFPlayer Mini,DF1,GND,GND
DFPlayer Mini,DF1,RX,DFPLAYER_RX
DFPlayer Mini,DF1,TX,DFPLAYER_TX
DFPlayer Mini,DF1,SP+,SPK_P
DFPlayer Mini,DF1,SP-,SPK_N
Rotary Encoder,ENC1,CLK,ROTARY_CLK
Rotary Encoder,ENC1,DT,ROTARY_DT
Rotary Encoder,ENC1,SW,ROTARY_SW
Rotary Encoder,ENC1,+,+3V3
Rotary Encoder,ENC1,-,GND
Stop Button,SW1,Pin1,STOP_BTN
Stop Button,SW1,Pin2,GND
Resistor,R1,Pin1,BUZZER_DRIVE
Resistor,R1,Pin2,Q1_BASE
NPN Transistor,Q1,Base,Q1_BASE
NPN Transistor,Q1,Collector,BUZZER_COL
NPN Transistor,Q1,Emitter,GND
Active Buzzer,BZ1,Pin1,+5V
Active Buzzer,BZ1,Pin2,BUZZER_COL
Capacitor,C1,Pin1,+5V
Capacitor,C1,Pin2,GND
Capacitor,C2,Pin1,+5V
Capacitor,C2,Pin2,GND
